,event country,reporting country,Death num,Neighbor,Asia,Europe,Africa,Oceania,North America,South America,Antarctica,Continent sim,GDP(high),GDP(low-low),GDP(high-high),GDP(low-high),GDP(high-low),Gini Index(high),Gini Index(low-low),Gini Index(high-high),Gini Index(low-high),Gini Index(high-low),Democracy index(high),Democracy index(low-low),Democracy index(high-high),Democracy index(low-high),Democracy index(high-low),Diplomatic Relation,Investment,Trade,Immigration,Same language
173,GMB,ESP,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0
174,GEO,ARG,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,10836000.0,0.0,0
175,GEO,COL,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,4406087.0,0.0,0
176,GEO,MEX,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,4.0,0.0,37164560.0,0.0,0
177,GEO,ESP,0.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,150129374.0,0.0,0
178,DEU,ARG,2.995732273553991,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6.0,888.492285641818,2826545092.0,0.0,0
179,DEU,COL,2.995732273553991,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,1,0,0,6.0,378.238534375891,2000930564.0,0.0,0
180,DEU,MEX,2.995732273553991,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,330.422187815677,33452138438.0,0.0,0
181,DEU,ESP,2.995732273553991,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,6.0,8768.16540668878,77788804505.0,0.0,0
182,GHA,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.0,53554781.0,0.0,0
183,GHA,COL,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,2923003.0,0.0,0
184,GHA,MEX,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,37049469.0,0.0,0
185,GHA,ESP,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,474967954.0,0.0,0
186,GRC,ARG,2.995732273553991,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,4.04071280880836,183252602.0,0.0,0
187,GRC,COL,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0.0,0.921130658135421,28783858.0,0.0,0
188,GRC,MEX,2.995732273553991,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,2.88947137897836,359061235.0,0.0,0
189,GRC,ESP,0.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,345.21611472428,3518549932.0,0.0,0
190,GTM,ARG,1.122585794705758,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,126347600.0,0.0,1
191,GTM,COL,0.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,361049162.0,0.0,1
192,GTM,MEX,1.0986122886681096,1,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,2858190800.0,0.0,1
193,GTM,ESP,1.0986122886681098,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,6.0,0.0,432678362.0,0.0,1
194,GIN,ARG,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1142000.0,0.0,0
195,GIN,COL,0.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1973262.0,0.0,0
